n_components,cumulative_variance
824,0.9968225799736907
825,0.9968482722759978
826,0.9968739156323253
827,0.9968993548813456
828,0.9969245596881332
829,0.9969497079976558
830,0.9969747026865676
831,0.9969995870990611
832,0.997024412811423
833,0.9970490847174808
834,0.9970736719987754
835,0.9970981030008338
836,0.9971224505379158
837,0.9971467697189305
838,0.9971709044344563
839,0.9971948726601353
840,0.9972187389948095
841,0.9972425341243604
842,0.9972661184002322
843,0.9972895926885549
844,0.9973130317695292
845,0.997336363447362
846,0.9973596575409565
847,0.9973828491966044
848,0.9974059631840084
849,0.9974289734057856
850,0.9974518678017735
851,0.9974744239315321
852,0.997496923891249
853,0.9975193779610864
854,0.9975417065427956
855,0.9975639492840647
856,0.9975860644596067
857,0.9976079304614249
858,0.9976297701466148
859,0.9976515657714603
860,0.9976732661339589
861,0.9976948042226101
862,0.997716223577777
863,0.9977376091023923
864,0.9977589299205203
865,0.9977801558852649
866,0.9978012319400262
867,0.9978222334423484
868,0.9978431394347261
869,0.9978639134585824
870,0.9978846150376585
871,0.9979052931761017
872,0.9979257850607134
873,0.9979462340897274
874,0.9979665938200698
875,0.9979868532972566
876,0.9980069431627101
877,0.9980269665156751
878,0.9980468972523961
879,0.99806680292524
880,0.9980866351972753
881,0.9981062744289732
882,0.998125812435277
883,0.9981452350631641
884,0.9981645150457132
885,0.9981837720646953
886,0.9982029505365616
887,0.9982219166082945
888,0.9982407859929767
889,0.9982596129744933
890,0.9982783662321824
891,0.9982970341712506
892,0.9983155847389074
893,0.9983340040456367
894,0.9983523471119115
895,0.998370590835736
896,0.9983887914559462
897,0.9984068449916927
898,0.9984248375294462
899,0.998442803244991
900,0.9984606168153461
901,0.9984783226264391
902,0.9984959789067215
903,0.9985135623417598
904,0.9985311028378085
905,0.9985485486154427
906,0.9985659781569853
907,0.9985833065716806
908,0.9986005449547967
909,0.9986176292185522
910,0.9986346839121805
911,0.9986516353737375
912,0.9986685032936613
913,0.9986851514385156
914,0.9987017868142817
915,0.9987183477876025
916,0.9987348223162906
917,0.9987512251980183
918,0.9987675622764125
919,0.9987837816447227
920,0.9987998547020471
921,0.9988159192017758
922,0.9988319480028313
923,0.9988478925365752
924,0.9988636528237417
925,0.9988793964537795
926,0.9988950904798611
927,0.9989106541698191
928,0.9989261365543759
929,0.9989414673083332
930,0.9989567283380862
931,0.9989719478926564
932,0.9989871329189035
933,0.9990021883000294
934,0.9990171201871805
935,0.9990319840142026
936,0.9990467246792856
937,0.9990613953552183
938,0.9990760056273923
939,0.9990905857157464
940,0.9991050306843234
941,0.9991194055406787
942,0.9991336559051494
943,0.999147863797271
944,0.9991619937407659
945,0.9991760361142804
946,0.9991900052880199
947,0.9992039055969699
948,0.9992177337505658
949,0.999231472500336
950,0.9992451462021975
951,0.9992587288960361
952,0.9992722102206764
953,0.9992855890729122
954,0.9992988628955549
955,0.9993120508104252
956,0.9993251764232594
957,0.9993382021906756
958,0.9993511705261539
959,0.9993640943248285
960,0.9993769477732842
961,0.9993897101274222
962,0.9994023519199132
963,0.999414972516806
964,0.9994274581602851
965,0.9994398599908241
966,0.9994522549441888
967,0.9994645067635378
968,0.9994767396341641
969,0.9994888537079167
970,0.9995009135034303
971,0.9995129414912961
972,0.9995248951692232
973,0.99953678837516
974,0.9995486053612216
975,0.9995603406982781
976,0.9995720034727201
977,0.9995836118531252
978,0.9995951834659834
979,0.9996066675706466
980,0.9996180060211057
981,0.9996292681654836
982,0.9996404496278718
983,0.9996516100837008
984,0.9996626901388294
985,0.9996737260444566
986,0.9996846335887255
987,0.9996954614429684
988,0.999706238546343
989,0.9997169307056223
990,0.9997274928615697
991,0.9997379034609152
992,0.9997482233822966
993,0.9997584933425051
994,0.999768676569827
995,0.9997787681192999
996,0.9997887217121456
997,0.9997985552386995
998,0.9998083245619489
999,0.9998179806560252
1000,0.9998275956715981
1001,0.9998369977867794
1002,0.999846307749499
1003,0.9998554702779172
1004,0.9998644882142028
1005,0.9998734374756166
1006,0.999882281510869
1007,0.999891041992524
1008,0.9998996761358485
1009,0.9999081581629564
1010,0.9999164272935513
1011,0.9999244271621645
1012,0.9999322603108083
1013,0.9999396845806557
1014,0.9999469223862791
1015,0.9999537971849264
1016,0.9999605914319442
1017,0.9999672745026189
1018,0.999973637330526
1019,0.9999798014116013
1020,0.9999855218920355
1021,0.9999907896506245
1022,0.9999958010924167
1023,0.9999999946638255
1024,0.999999999999999
