entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
immigration and naturalization service,immigration and naturalization service,36,0.762944110633578,0.6472834825248638
twelve tribes,twelve tribes,37,0.7699135971254097,0.6479802524514492
germany,germany,36,0.8007498992970268,0.603804619605828
united kingdom,united kingdom,36,0.7552505121696624,0.6558739089974637
the netherlands,the netherlands,37,0.7485998851197112,0.6692612197177525
european union,european union,36,0.8384753274615674,0.5583221396491375
council of europe,council of europe,36,0.7614118106698461,0.6490009633126665
european parliament,european parliament,36,0.7720910609991131,0.6369565893619509
enquete commission,enquete commission,35,0.7907325425552932,0.6148179680783415
french government,french government,36,0.8180409294761369,0.5832178759188058
italy,italy,36,0.8340132023924175,0.5638106624797941
former soviet union countries,former soviet union countries,36,0.8289529851382235,0.5700000445842485
osce,osce,36,0.8544803987153483,0.5383936388267628
russia,russia,24,0.8291836684028083,0.5646522433917502
holy smoke,holy smoke,35,0.7877952419604831,0.6182680804304035
belgium,belgium,36,0.8472073663111876,0.5474963140696765
australia,australia,36,0.8510611356630111,0.5426829658073234
new zealand,new zealand,25,0.8566971495030957,0.5240950213815917
black,black,35,0.819314535468943,0.5805735329662558
the rise of christianity,the rise of christianity,32,0.7083484486112392,0.7059147274066329
aclu,aclu,36,0.7979901052066523,0.6070492700130768
national council of churches,national council of churches,32,0.6691944314074728,0.7436598809981684
england,england,36,0.7868853127931759,0.6199935861251706
american imperialism,american imperialism,24,0.8218140044872775,0.5740914256945446
waco,waco,25,0.8159752910798275,0.5793055654137231
singapore,singapore,36,0.8603407833813584,0.5310028301488128
chinese communist party,chinese communist party,36,0.7598751091632775,0.6507204754512612
western europe,western europe,36,0.7849794368173943,0.6221970469899415
american culture,american culture,35,0.7658767737138329,0.6436094191572055
wessinger 2000,wessinger 2000,35,0.8295137376907795,0.5680596633545822
social justice research,social justice research,35,0.7696068934837902,0.639347844151922
european court of human rights,european court of human rights,36,0.7917604207241508,0.6143333810059765
acm,acm,25,0.8811269336594618,0.48968215353882594
the peoples temple,the peoples temple,0,0.37020314937908444,0.9431370983966687
freecog,freecog,25,0.8647756307258305,0.5128220494642016
cff,cff,36,0.844659926929589,0.5506657638717756
citizens freedom foundation,citizens freedom foundation,36,0.7054354156455,0.7093902318201081
freedom of thought foundation,freedom of thought foundation,36,0.6873304911046599,0.7279361284767508
katz v. superior court,katz v. superior court,35,0.8560132115823009,0.534820975418419
american family foundation (aff),american family foundation (aff),36,0.6814409653557698,0.7338645632907217
cult awareness network (can),cult awareness network (can),13,0.7311054958017961,0.6940747147703251
cultic studies journal,cultic studies journal,34,0.7331145386044609,0.6801282750999017
aff,aff,36,0.8048418368513762,0.5989721178479792
can,can,25,0.8128894776403491,0.5833786081010333
dimpac,dimpac,25,0.8844102831688252,0.4849837949478342
bserp,bserp,25,0.8963477948066984,0.46775331676401405
dsm-iii,dsm-iii,36,0.8291662185005375,0.5697394403319037
shupe,shupe,25,0.802220816913229,0.5973460531048826
darnell,darnell,35,0.9155328062648882,0.4563564940050938
bundestag,bundestag,36,0.8013642805004243,0.6030804606176356
time,time,35,0.6931332594407972,0.7225891708090662
freedom,freedom,35,0.7608274219552472,0.6493465908517375
united pentecostal church international,united pentecostal church international,32,0.7158059010850146,0.6984825652505253
jason scott,jason scott,35,0.8689713627693092,0.5181872943570677
irs,irs,36,0.7856162961163479,0.6214612802141619
la scientologie en suisse,la scientologie en suisse,2,0.7103010613282418,0.7154956898303158
type i,type i,25,0.8228876026152703,0.5701229186439002
type ii,type ii,35,0.8475434835557272,0.5455589300831587
mils,mils,35,0.8448537985748827,0.5489458960036993
type i reports,type i reports,35,0.8203077284241753,0.579361707344616
ministero dell'interno,ministero dell'interno,36,0.8329450818922742,0.5651201804263546
type ii reports,type ii reports,35,0.8521819744896415,0.539691388484323
hervieu-le ´ger,hervieu-le ´ger,36,0.8878272391956871,0.49566194962549714
lourdes,lourdes,34,0.8637603887843791,0.5279998592166372
la salette,la salette,37,0.8100476251885573,0.6062866527571296
narconon,narconon,25,0.8537607207141229,0.5281658378965333
anthroposophical society,anthroposophical society,34,0.5491247115831003,0.8521587874900008
parliamentary commission,parliamentary commission,36,0.7625290406660624,0.6477489091872253
inform,inform,35,0.8078665000518728,0.5944358711093023
cesnur,cesnur,25,0.8950056071511648,0.469702172951684
jean-marie abgrall,jean-marie abgrall,35,0.9229961742282509,0.44614582956393606
the brainwashing/deprogramming controversy,the brainwashing/deprogramming controversy,40,0.6511876354483087,0.7592917828273387
les sectes en france,les sectes en france,42,0.8025048284056359,0.6067697033104824
sectes,sectes,42,0.5734997771373621,0.8264675619081763
